# Linear search. Times in microseconds
# Size       Best       Worst     Average
#------------------------------------------
   10000      0.060      2.882      1.820
   20000      0.049      6.178      3.910
   30000      0.047      9.189      5.521
   40000      0.048     12.512      7.766
   50000      0.048     16.240      9.602
   60000      0.048     18.663     11.698
   70000      0.049     21.729     13.489
   80000      0.057     25.529     15.363
   90000      0.047     29.142     17.522
  100000      0.051     32.280     18.807
